parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75216025,"Corn, cooked, NS as to form, NS as to color, made with butter",1001.0,"Butter, salted",4.729
75216025,"Corn, cooked, NS as to form, NS as to color, made with butter",2047.0,"Salt, table",1.0
75216025,"Corn, cooked, NS as to form, NS as to color, made with butter",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216026,"Corn, cooked, NS as to form, NS as to color, made with margarine",2047.0,"Salt, table",1.0
75216026,"Corn, cooked, NS as to form, NS as to color, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216026,"Corn, cooked, NS as to form, NS as to color, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75216026,"Corn, cooked, NS as to form, NS as to color, made with margarine",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216027,"Corn, cooked, from fresh, NS as to color, made with oil",2047.0,"Salt, table",1.0
75216027,"Corn, cooked, from fresh, NS as to color, made with oil",4322.0,"Vegetable oil, averaged",4.542
75216027,"Corn, cooked, from fresh, NS as to color, made with oil",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216028,"Corn, cooked, from fresh, NS as to color, made with butter",1001.0,"Butter, salted",4.729
75216028,"Corn, cooked, from fresh, NS as to color, made with butter",2047.0,"Salt, table",1.0
75216028,"Corn, cooked, from fresh, NS as to color, made with butter",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216029,"Corn, cooked, from fresh, NS as to color, made with margarine",2047.0,"Salt, table",1.0
75216029,"Corn, cooked, from fresh, NS as to color, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216029,"Corn, cooked, from fresh, NS as to color, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75216029,"Corn, cooked, from fresh, NS as to color, made with margarine",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",2047.0,"Salt, table",1.0
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",4322.0,"Vegetable oil, averaged",4.542
75216031,"Corn, cooked, from frozen, NS as to color, made with oil",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",1001.0,"Butter, salted",4.729
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",2047.0,"Salt, table",1.0
75216032,"Corn, cooked, from frozen, NS as to color, made with butter",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",2047.0,"Salt, table",1.0
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75216033,"Corn, cooked, from frozen, NS as to color, made with margarine",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216034,"Corn, cooked, from canned, NS as to color, made with oil",2047.0,"Salt, table",0.4
75216034,"Corn, cooked, from canned, NS as to color, made with oil",4322.0,"Vegetable oil, averaged",4.542
75216034,"Corn, cooked, from canned, NS as to color, made with oil",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216035,"Corn, cooked, from canned, NS as to color, made with butter",1001.0,"Butter, salted",4.729
75216035,"Corn, cooked, from canned, NS as to color, made with butter",2047.0,"Salt, table",0.4
75216035,"Corn, cooked, from canned, NS as to color, made with butter",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216036,"Corn, cooked, from canned, NS as to color, made with margarine",2047.0,"Salt, table",0.4
75216036,"Corn, cooked, from canned, NS as to color, made with margarine",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75216036,"Corn, cooked, from canned, NS as to color, made with margarine",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.6698499999999998
75216036,"Corn, cooked, from canned, NS as to color, made with margarine",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216050,"Corn, NS as to form, NS as to color, cream style",2047.0,"Salt, table",1.0
75216050,"Corn, NS as to form, NS as to color, cream style",11174.0,"Corn, sweet, yellow, canned, cream style, regular pack",256.0
75216053,"Corn, from canned, NS as to color, cream style",2047.0,"Salt, table",0.4
75216053,"Corn, from canned, NS as to color, cream style",11174.0,"Corn, sweet, yellow, canned, cream style, regular pack",256.0
75216070,"Corn, dried, cooked",1111.0,"Milk, averaged fat, with added vitamin A and D",30.5
75216070,"Corn, dried, cooked",4613.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",24.48
75216070,"Corn, dried, cooked",4694.0,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",4.32
75216070,"Corn, dried, cooked",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",328.0
75216070,"Corn, dried, cooked",19335.0,"Sugars, granulated",12.5
75216100,"Corn, yellow, cooked, NS as to form, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216100,"Corn, yellow, cooked, NS as to form, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216100,"Corn, yellow, cooked, NS as to form, NS as to fat added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",164.0
75216101,"Corn, yellow, cooked, from fresh, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216101,"Corn, yellow, cooked, from fresh, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216101,"Corn, yellow, cooked, from fresh, NS as to fat added in cooking",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164.0
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216102,"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
